RED,REGION,POBLACION ASEGURADA,DIFTERIA,DIFTERIA_TIA,ESAVI - EVENTO ADVERSO POST VACUNAL,FIEBRE AMARILLA SELVATICA,FIEBRE AMARILLA SELVATICA_TIA,HEPATITIS B,HEPATITIS B_TIA,PARALISIS FLACIDA AGUDA,PARALISIS FLACIDA AGUDA_TIA,PAROTIDITIS,PAROTIDITIS_TIA,PAROTIDITIS CON COMPLICACIONES,PAROTIDITIS CON COMPLICACIONES_TIA,RUBEOLA,RUBEOLA_TIA,SARAMPION,SARAMPION_TIA,TETANOS,TETANOS_TIA,TOS FERINA,TOS FERINA_TIA,VARICELA CON OTRAS COMPLICACIONES,VARICELA CON OTRAS COMPLICACIONES_TIA,VARICELA SIN COMPLICACIONES,VARICELA SIN COMPLICACIONES_TIA
ALMENARA,LIMA,1679160,0,0.0,0,0,0.0,1,0.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.48,0,0.0,1,0.06
AMAZONAS,AMAZONAS,85311,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.17
ANCASH,ANCASH,249017,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
APURIMAC,APURIMAC,115355,0,0.0,0,0,0.0,2,1.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,4.33,0,0.0,1,0.87
AREQUIPA,AREQUIPA,769400,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,1.95,0,0.0,1,0.13
AYACUCHO,AYACUCHO,137153,0,0.0,0,0,0.0,4,2.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.73,0,0.0,0,0.0,0,0.0
CAJAMARCA,CAJAMARCA,222515,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.8,0,0.0,2,0.9
CUSCO,CUSCO,425266,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,2.35,0,0.0,1,0.24
HUANCAVELICA,HUANCAVELICA,97618,0,0.0,0,0,0.0,1,1.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,11.27
HUANUCO,HUANUCO,205201,0,0.0,0,0,0.0,6,2.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.97,0,0.0,2,0.97
HUARAZ,ANCASH,139567,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.72
ICA,ICA,529936,0,0.0,0,0,0.0,1,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JAEN,CAJAMARCA,67236,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
JULIACA,PUNO,180482,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,8.31,0,0.0,0,0.0
JUNIN,JUNIN,413653,0,0.0,0,1,0.24,3,0.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.48
LA LIBERTAD,LA LIBERTAD,767456,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.13,6,0.78,1,0.13,0,0.0
LAMBAYEQUE,LAMBAYEQUE,637586,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16,10,1.57,0,0.0,1,0.16
LORETO,LORETO,270067,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.48,0,0.0,3,1.11
MADRE DE DIOS,MADRE DE DIOS,43842,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MOQUEGUA,MOQUEGUA,109669,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.82,0,0.0,1,0.91
MOYOBAMBA,SAN MARTIN,61782,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.62,0,0.0,0,0.0
PASCO,PASCO,98833,0,0.0,0,0,0.0,2,2.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.01
PIURA,PIURA,758949,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.13,0,0.0,0,0.0
PUNO,PUNO,110708,0,0.0,0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.81,0,0.0,0,0.0
REBAGLIATI,LIMA,2117781,0,0.0,0,0,0.0,5,0.24,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,8,0.38,1,0.05,1,0.05
SABOGAL,LIMA,1983437,0,0.0,0,1,0.05,4,0.2,0,0.0,9,0.45,0,0.0,0,0.0,0,0.0,0,0.0,10,0.5,2,0.1,4,0.2
TACNA,TACNA,134875,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TARAPOTO,SAN MARTIN,132222,0,0.0,0,2,1.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TUMBES,TUMBES,77384,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
UCAYALI,UCAYALI,178275,0,0.0,0,0,0.0,1,0.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
